@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1479,'2019/01/26 16:11:45:847',10,0,0,-0.980057,0.990614,0.008502,0,1.021176,1.021176,0.001833,0.011817
1480,'2019/01/26 16:11:45:873',10,0,0,-0.981308,0.99167,0.007976,0,1.021176,1.021176,0.001833,0.011817
1481,'2019/01/26 16:11:45:904',10,0,0,-0.990921,1.002789,0.00801,0,1.021176,1.021176,0.001833,0.011817
1482,'2019/01/26 16:11:45:933',10,0,0,-0.975769,0.987445,0.004785,0,1.021176,1.021176,0.001833,0.011817
1483,'2019/01/26 16:11:45:976',10,0,0,-0.98439,0.995632,0.004876,0,1.021176,1.021176,0.001833,0.011817
1484,'2019/01/26 16:11:45:994',10,0,0,-0.972305,0.98392,0.005591,0,1.021176,1.021176,0.001833,0.011817
1485,'2019/01/26 16:11:46:024',10,0,0,-0.984818,0.996448,0.005569,0,1.021176,1.021176,0.001833,0.011817
1486,'2019/01/26 16:11:46:053',10,0,0,-0.97644,0.987925,0.005485,0,1.021176,1.021176,0.001833,0.011817
1487,'2019/01/26 16:11:46:086',10,0,0,-0.98056,0.991075,0.004991,0,1.021176,1.021176,0.001833,0.011817
1488,'2019/01/26 16:11:46:114',10,0,0,-0.981186,0.991903,0.00499,0,1.021176,1.021176,0.001833,0.011817
1489,'2019/01/26 16:11:46:144',10,0,0,-0.97554,0.987643,0.005233,0,1.021176,1.021176,0.001833,0.011817
1490,'2019/01/26 16:11:46:184',10,0,0,-0.977951,0.98961,0.005266,0,1.021176,1.021176,0.001833,0.011817
1491,'2019/01/26 16:11:46:205',10,0,0,-0.978958,0.990509,0.003802,0,1.021176,1.021176,0.001833,0.011817
1492,'2019/01/26 16:11:46:239',10,0,0,-0.980835,0.993381,0.003702,0,1.021176,1.021176,0.001833,0.011817
1493,'2019/01/26 16:11:46:270',10,0,0,-0.981094,0.992785,0.003365,0,1.021176,1.021176,0.001833,0.011817
1494,'2019/01/26 16:11:46:295',10,0,0,-0.978104,0.99033,0.002573,0,1.021176,1.021176,0.001833,0.011817
1495,'2019/01/26 16:11:46:327',10,0,0,-0.981705,0.99282,0.002053,0,1.021176,1.021176,0.001833,0.011817
1496,'2019/01/26 16:11:46:355',10,0,0,-0.97818,0.98958,0.001875,0,1.021176,1.021176,0.001833,0.011817
1497,'2019/01/26 16:11:46:390',10,0,0,-0.982361,0.993812,0.002054,0,1.021176,1.021176,0.001833,0.011817
1498,'2019/01/26 16:11:46:416',10,0,0,-0.980927,0.993318,0.002035,0,1.021176,1.021176,0.001833,0.011817
1499,'2019/01/26 16:11:46:447',10,0,0,-0.979599,0.99157,0.001536,0,1.021176,1.021176,0.001833,0.011817
1500,'2019/01/26 16:11:46:477',10,0,0,-0.984406,0.995941,0.001871,0,1.021176,1.021176,0.001833,0.011817
1501,'2019/01/26 16:11:46:506',10,0,0,-0.973221,0.985146,0.002892,0,1.021176,1.021176,0.001833,0.011817
1502,'2019/01/26 16:11:46:537',10,0,0,-0.983505,0.994924,0.003071,0,1.021176,1.021176,0.001833,0.011817
1503,'2019/01/26 16:11:46:564',10,0,0,-0.978683,0.990064,0.003094,0,1.021176,1.021176,0.001833,0.011817
1504,'2019/01/26 16:11:46:597',10,0,0,-0.979874,0.991575,0.003027,0,1.021176,1.021176,0.001833,0.011817
1505,'2019/01/26 16:11:46:627',10,0,0,-0.985275,0.996957,0.003369,0,1.021176,1.021176,0.001833,0.011817
1506,'2019/01/26 16:11:46:656',10,0,0,-0.975677,0.987553,0.003623,0,1.021176,1.021176,0.001833,0.011817
1507,'2019/01/26 16:11:46:693',10,0,0,-0.979401,0.990957,0.003567,0,1.021176,1.021176,0.001833,0.011817
1508,'2019/01/26 16:11:46:716',10,0,0,-0.978821,0.989835,0.003572,0,1.021176,1.021176,0.001833,0.011817
1509,'2019/01/26 16:11:46:748',10,0,0,-0.980377,0.99222,0.003574,0,1.021176,1.021176,0.001833,0.011817
1510,'2019/01/26 16:11:46:777',10,0,0,-0.979935,0.992117,0.003251,0,1.021176,1.021176,0.001833,0.011817
1511,'2019/01/26 16:11:46:807',10,0,0,-0.983078,0.994858,0.002642,0,1.021176,1.021176,0.001833,0.011817
1512,'2019/01/26 16:11:46:839',10,0,0,-0.977905,0.990232,0.002528,0,1.021176,1.021176,0.001833,0.011817
1513,'2019/01/26 16:11:46:867',10,0,0,-0.971619,0.98336,0.003551,0,1.021176,1.021176,0.001833,0.011817
1514,'2019/01/26 16:11:46:897',10,0,0,-0.980408,0.991843,0.003564,0,1.021176,1.021176,0.001833,0.011817
1515,'2019/01/26 16:11:46:929',10,0,0,-0.981415,0.992078,0.003065,0,1.021176,1.021176,0.001833,0.011817
1516,'2019/01/26 16:11:46:959',10,0,0,-0.989822,1.002236,0.004288,0,1.021176,1.021176,0.001833,0.011817
1517,'2019/01/26 16:11:46:989',10,0,0,-0.978104,0.990468,0.004332,0,1.021176,1.021176,0.001833,0.011817
1518,'2019/01/26 16:11:47:019',10,0,0,-0.981277,0.992265,0.004319,0,1.021176,1.021176,0.001833,0.011817
1519,'2019/01/26 16:11:47:048',10,0,0,-0.977661,0.989886,0.004397,0,1.021176,1.021176,0.001833,0.011817
1520,'2019/01/26 16:11:47:079',10,0,0,-0.975006,0.98707,0.004659,0,1.021176,1.021176,0.001833,0.011817
1521,'2019/01/26 16:11:47:116',10,0,0,-0.976761,0.98847,0.004576,0,1.021176,1.021176,0.001833,0.011817
1522,'2019/01/26 16:11:47:139',10,0,0,-0.97641,0.988139,0.004633,0,1.021176,1.021176,0.001833,0.011817
1523,'2019/01/26 16:11:47:169',10,0,0,-0.980896,0.992236,0.003974,0,1.021176,1.021176,0.001833,0.011817
1524,'2019/01/26 16:11:47:206',10,0,0,-0.979614,0.99139,0.003969,0,1.021176,1.021176,0.001833,0.011817
1525,'2019/01/26 16:11:47:229',10,0,0,-0.984665,0.99608,0.004221,0,1.021176,1.021176,0.001833,0.011817
1526,'2019/01/26 16:11:47:259',10,0,0,-0.982208,0.99423,0.002848,0,1.021176,1.021176,0.001833,0.011817
1527,'2019/01/26 16:11:47:290',10,0,0,-0.978638,0.990835,0.002831,0,1.021176,1.021176,0.001833,0.011817
1528,'2019/01/26 16:11:47:320',10,0,0,-0.979446,0.990762,0.002756,0,1.021176,1.021176,0.001833,0.011817
1529,'2019/01/26 16:11:47:351',10,0,0,-0.975815,0.987581,0.002906,0,1.021176,1.021176,0.001833,0.011817
1530,'2019/01/26 16:11:47:384',10,0,0,-0.98378,0.995785,0.002909,0,1.021176,1.021176,0.001833,0.011817
1531,'2019/01/26 16:11:47:425',10,0,0,-0.976288,0.987936,0.002962,0,1.021176,1.021176,0.001833,0.011817
1532,'2019/01/26 16:11:47:441',10,0,0,-0.990799,1.002472,0.004209,0,1.021176,1.021176,0.001833,0.011817
1533,'2019/01/26 16:11:47:470',10,0,0,-0.978836,0.990604,0.00427,0,1.021176,1.021176,0.001833,0.011817
1534,'2019/01/26 16:11:47:500',10,0,0,-0.981064,0.992718,0.004245,0,1.021176,1.021176,0.001833,0.011817
1535,'2019/01/26 16:11:47:530',10,0,0,-0.981064,0.992996,0.004081,0,1.021176,1.021176,0.001833,0.011817
1536,'2019/01/26 16:11:47:560',10,0,0,-0.973663,0.986125,0.004562,0,1.021176,1.021176,0.001833,0.011817
1537,'2019/01/26 16:11:47:590',10,0,0,-0.988083,0.999637,0.005136,0,1.021176,1.021176,0.001833,0.011817
1538,'2019/01/26 16:11:47:620',10,0,0,-0.975159,0.988064,0.00541,0,1.021176,1.021176,0.001833,0.011817
1539,'2019/01/26 16:11:47:651',10,0,0,-0.983337,0.994901,0.005233,0,1.021176,1.021176,0.001833,0.011817
1540,'2019/01/26 16:11:47:680',10,0,0,-0.97081,0.982711,0.005987,0,1.021176,1.021176,0.001833,0.011817
1541,'2019/01/26 16:11:47:716',10,0,0,-0.971298,0.983636,0.006458,0,1.021176,1.021176,0.001833,0.011817
1542,'2019/01/26 16:11:47:741',10,0,0,-0.984421,0.996532,0.005553,0,1.021176,1.021176,0.001833,0.011817
